,ApplicantID,JobID,title,score
0,1,245753,Java Administrator @ ConsultNet,0.7174179581693454
1,1,150882,Java Consultant - Mobile Apps Development @ Consultis,0.6491947069393413
2,1,141831,"Lead Java/J2EE Developer - Contract to Hire @ iTech Solutions, Inc.",0.5748960864858196
3,1,146640,Jr. Java Developer @ Paladin Consulting Inc,0.463785756363825
4,1,251696,Java Developer @ ConsultNet,0.44302446804759543
5,1,243777,Java Developer @ Mindteck,0.3502010590834784
6,1,246871,Java Developer @ Mindteck,0.3205156225630175
7,1,248499,Senior Java Programmer @ Dunbar Armored,0.3015737770830234
8,1,253503,Webservice Software Engineering (Java) Intern @ Hewlett-Packard,0.27656713151424483
9,1,251741,Mongo DB Developer @ ConsultNet,0.2761708814886611
